Date and time,Tariff Sum (p/kWh)
09/08/2022 00:00,11.91
09/08/2022 00:30,11.91
09/08/2022 01:00,11.91
09/08/2022 01:30,11.91
09/08/2022 02:00,11.91
09/08/2022 02:30,11.91
09/08/2022 03:00,11.91
09/08/2022 03:30,11.91
09/08/2022 04:00,11.91
09/08/2022 04:30,11.91
09/08/2022 05:00,11.91
09/08/2022 05:30,11.91
09/08/2022 06:00,11.91
09/08/2022 06:30,11.91
09/08/2022 07:00,12.28
09/08/2022 07:30,12.28
09/08/2022 08:00,12.95
09/08/2022 08:30,12.95
09/08/2022 09:00,12.95
09/08/2022 09:30,12.95
09/08/2022 10:00,12.95
09/08/2022 10:30,12.95
09/08/2022 11:00,12.95
09/08/2022 11:30,12.95
09/08/2022 12:00,12.95
09/08/2022 12:30,12.95
09/08/2022 13:00,12.95
09/08/2022 13:30,12.95
09/08/2022 14:00,12.95
09/08/2022 14:30,12.95
09/08/2022 15:00,12.95
09/08/2022 15:30,12.95
09/08/2022 16:00,12.95
09/08/2022 16:30,19.37
09/08/2022 17:00,19.37
09/08/2022 17:30,19.37
09/08/2022 18:00,19.37
09/08/2022 18:30,19.37
09/08/2022 19:00,19
09/08/2022 19:30,12.57
09/08/2022 20:00,12.57
09/08/2022 20:30,12.57
09/08/2022 21:00,12.57
09/08/2022 21:30,12.57
09/08/2022 22:00,12.57
09/08/2022 22:30,12.57
09/08/2022 23:00,12.57
09/08/2022 23:30,12.57
10/08/2022 00:00,11.91
